,nl_query,db
587,"Locate key influencers across multiple clusters.
",graph
588,"What's the global efficiency of the network?
",graph
589,"Determine the reachability ratios among components.
",graph
590,"What nodes are part of a dense subgraph?
",graph
591,"Find all nodes with cyclical dependency relationships.
",graph
592,"Identify motifs shared by node L2 and node M2.
",graph
593,"List bridges that can partition the graph.
",graph
594,"Which paths serve as shortcuts in the network?
",graph
595,"How do cycles affect information relay between nodes?
",graph
596,"Who acts as gatekeepers in node N2’s cluster?
",graph
597,"What is the redundancy factor of node O2’s connections?
",graph
598,"Classify nodes based on their connection symmetry.
",graph
599,"Evaluate path diversity between two given nodes.
",graph
600,"Infer trust levels based on transitive edges.
",graph
601,"What’s the Subgraph centrality of partition P?
",graph
602,"Which nodes serve as conduits for cluster-to-cluster exchanges?
",graph
603,"Discover isolated islands within the graph.
",graph
604,"Analyze the influence of node Q2's outgoing connections.
",graph
605,"Which nodes exhibit dynamic centrality?
",graph
606,"Locate bottleneck nodes within the graph.
",graph
607,"What is the weighted degree of node R2?
",graph
608,"Who are frequent collaborators with node S2?
",graph
609,"Identify edge homogeneity between clusters.
",graph
610,"What is the dependent degree count of node T2?
",graph
611,"Which nodes form the backbone of the graph?
",graph
612,"How do multiplex relationships influence node U2's influence?
",graph
613,"Discover time-sensitive connections in evolving networks.
",graph
614,"What roles do core nodes play in graph stability?
",graph
615,"Analyze the onset of fragmentation points within the network.
",graph
616,"Detect ring structures involving node V2.
",graph
617,"What node alignments exist within hyperedges?
",graph
618,"How are elite nodes orchestrating network dynamics?
",graph
619,"Explore all intermediary nodes in paths from node W2 to node X2.
",graph
620,"Find the shortest path between two users in a social network.
",graph
621,"Identify mutual friends between two people.
",graph
622,"List all employees who report directly or indirectly to a specific manager.
",graph
623,"Discover all components of a disconnected graph.
",graph
624,"Retrieve all nodes connected to a given node within three degrees of separation.
",graph
625,"Find all direct and indirect connections of a specific user.
",graph
626,"Determine if two pieces of equipment have a shared maintenance technician.
",graph
627,"Get all books written by authors who have co-authored with a specific author.
",graph
628,"List all airports accessible from a given airport with one or fewer layovers.
",graph
629,"Identify fraudulent transaction chains in a financial network.
",graph
630,"Retrieve all nodes with a specific label.
",graph
631,"Discover all movies featuring a particular actor and director collaboration.
",graph
632,"List all products purchased by customers who also bought a specific product.
",graph
633,"Find all shared interests between two users.
",graph
634,"Get all tweets mentioning a specific hashtag.
",graph
635,"Find the second-degree followers of a specific Twitter user.
",graph
636,"List all related projects that a team member is part of within a company.
",graph
637,"Identify all city pairs with a direct flight connection.
",graph
638,"Retrieve the most influential node in a social network (PageRank).
",graph
639,"Find all family members of a specific individual up to three generations.
",graph
640,"Determine if there is a cycle in a given subgraph.
",graph
641,"List all devices connected through a specific IoT hub.
",graph
642,"Find all software developers who have worked on the same project.
",graph
643,"Retrieve all people with shared educational background.
",graph
644,"List every node connected via a relationship of type ""follows"".
",graph
645,"Identify potential influencers for a brand in a social network.
",graph
646,"Find all proteins interacting with a specific protein in a biological network.
",graph
647,"List all articles citing a specific research paper.
",graph
648,"Get all policyholders connected through shared policies.
",graph
649,"Identify common skills between team members of a project.
",graph
650,"Find the total number of relationships a given entity has.
",graph
651,"Retrieve all nodes at a specific depth from a starting node.
",graph
652,"List all countries that share a border with a given country.
",graph
653,"Get all transactions originating from a specific account.
",graph
654,"Identify routes with less than three transfers between two bus stops.
",graph
655,"Find all computers infected by a certain type of malware.
",graph
656,"List employees who have worked under the same manager at any company.
",graph
657,"Retrieve all courses taken by students with a specific major.
",graph
658,"Identify all actors who have won an award in their lifetime.
",graph
659,"List all users in a social network who like the same page.
",graph
660,"Get all genes related to a specific illness.
",graph
661,"Find the diameter of a social network.
",graph
662,"Retrieve all nodes with more than five outgoing edges.
",graph
663,"List all previous owners of a given car.
",graph
664,"Identify all organizational units within a company’s hierarchy.
",graph
665,"Get all messages that are part of a specific conversation thread.
",graph
666,"Find all ancestors of an individual up to a specified generation.
",graph
667,"List all publications by authors within the same research institution.
",graph
668,"Identify all existing connections based on a specific pattern.
",graph
669,"Get the most common path traversed in a logistics network.
",graph
670,"List all similar products bought together by customers.
",graph
671,"Retrieve all transactions having a specific amount.
",graph
672,"Get the relationship chain between two companies.
",graph
673,"Identify all company branches located in a certain region.
",graph
674,"List all influencers who have mentioned a particular product.
",graph
675,"Find all artists who have collaborated on a song with a specific musician.
",graph
676,"Get all events happened in a certain location.
",graph
677,"Discover all mentees of a given mentor within an organization.
",graph
678,"Find communities with dense intra-connectivity.
",graph
679,"List all skill clusters within an organization.
",graph
680,"Get all patents cited in a specific technology field.
",graph
681,"Identify the social circle of a given user.
",graph
682,"Retrieve all technical support cases for a defective product.
",graph
683,"List all cars involved in more than two traffic incidents.
",graph
684,"Get all movies produced in a specific country.
",graph
685,"Identify common training programs attended by employees.
",graph
686,"List all articles sharing the same keywords.
",graph
